Date,Category,Payment mode,Description,Amount,Cashback
2024-01-01,Transportation,UPI,Fuel for transportation,192.91,5
2024-01-01,Transportation,UPI,Fuel for transportation,1030.52,0
2024-01-01,Food,UPI,Groceries for food,786.99,0
2024-01-01,Healthcare,Debit Card,Prescriptions for healthcare,916.22,0
2024-01-01,Transportation,UPI,Fuel for transportation,338.91,0
2024-01-01,Transportation,Debit Card,Fuel for transportation,1803.11,0
2024-01-02,Entertainment,Cash,Movies for entertainment,1888.43,0
2024-01-02,Healthcare,Cash,Prescriptions for healthcare,1375.76,0
2024-01-02,Housing,Cash,Rent for housing,1414.32,0
2024-01-02,Entertainment,Cash,Movies for entertainment,705.74,0
2024-01-02,Entertainment,Debit Card,Movies for entertainment,1316.36,0
2024-01-04,Food,Debit Card,Groceries for food,1521.66,0
2024-01-04,Entertainment,Debit Card,Movies for entertainment,1066.75,0
2024-01-05,Subscriptions,UPI,Subscription services for subscriptions,370.28,0
2024-01-05,Housing,UPI,Rent for housing,891.35,0
2024-01-06,Transportation,Debit Card,Fuel for transportation,853.65,0
2024-01-07,Housing,Debit Card,Rent for housing,1628.45,0
2024-01-07,Food,Debit Card,Groceries for food,123.8,0
2024-01-07,Entertainment,Debit Card,Movies for entertainment,607.59,0
2024-01-07,Entertainment,Debit Card,Movies for entertainment,1606.1,0
2024-01-07,Healthcare,Cash,Prescriptions for healthcare,274.91,0
2024-01-08,Subscriptions,Cash,Subscription services for subscriptions,147.51,0
2024-01-08,Food,Debit Card,Groceries for food,968.78,0
2024-01-09,Entertainment,Debit Card,Movies for entertainment,1194.84,0
2024-01-09,Transportation,Debit Card,Fuel for transportation,1747.14,0
2024-01-09,Transportation,UPI,Fuel for transportation,1450.75,0
2024-01-09,Housing,Cash,Rent for housing,1820.43,0
2024-01-10,Housing,Debit Card,Rent for housing,1279.19,0
2024-01-10,Housing,Cash,Rent for housing,1521.12,0
2024-01-10,Entertainment,Debit Card,Movies for entertainment,1094.32,0
