Date,Category,Payment mode,Description,Amount,Cashback
2024-03-01,Subscriptions,UPI,OTT platform subscriptions.,1533.36,0
2024-03-01,Housing,Cash,Rent for housing.,1831.81,0
2024-03-01,Entertainment,UPI,Movie tickets for entertainment.,1163.99,0
2024-03-02,Transportation,UPI,Fuel for transportation.,491.65,1
2024-03-02,Food,UPI,Groceries for food.,794.59,0
2024-03-02,Subscriptions,UPI,Music streaming subscriptions.,1061.5,0
2024-03-02,Food,Cash,Dining out at restaurants.,551.1,0
2024-03-02,Housing,Cash,Repairs for housing.,1716.16,0
2024-03-03,Food,Cash,Bakery items for food.,1835.5,0
2024-03-03,Healthcare,Cash,Doctor visits for healthcare.,1967.45,0
2024-03-03,Transportation,Debit Card,Public transport tickets.,1011.76,0
2024-03-03,Food,Cash,Specialty groceries.,1163.02,0
2024-03-03,Food,Debit Card,Snacks and beverages.,1105.35,0
2024-03-04,Subscriptions,UPI,Learning app subscriptions.,599.65,0
2024-03-04,Food,UPI,Takeout meals.,364.6,0
2024-03-04,Entertainment,Debit Card,Concert tickets for entertainment.,1689.3,0
2024-03-04,Subscriptions,UPI,Gym memberships.,571.65,0
2024-03-04,Entertainment,UPI,Sports event tickets.,1977.36,0
2024-03-05,Healthcare,Cash,Prescriptions for healthcare.,701.01,0
2024-03-05,Housing,UPI,Maintenance fees for housing.,305.7,0
2024-03-05,Entertainment,UPI,Theme park tickets for entertainment.,343.05,0
2024-03-05,Entertainment,Debit Card,Books for entertainment.,1723.2,0
2024-03-05,Subscriptions,Debit Card,Cloud storage subscriptions.,959.68,0
2024-03-06,Housing,Debit Card,Utilities for housing.,1152.07,0
2024-03-06,Housing,Debit Card,Cleaning services for housing.,348.89,0
2024-03-06,Housing,Debit Card,Appliance repairs for housing.,1293.97,0
2024-03-07,Healthcare,Debit Card,Therapy sessions.,585.6,0
2024-03-07,Healthcare,Cash,Lab tests for healthcare.,1595.98,0
2024-03-07,Transportation,Debit Card,Taxi or ride-sharing fares.,1070.29,0
2024-03-08,Transportation,UPI,Car repairs for transportation.,846.63,0
