Date,Category,Payment mode,Description,Amount,Cashback
2024-04-01,Food,Debit Card,Groceries for food,1159.24,0
2024-04-01,Subscriptions,Debit Card,Subscription services for subscriptions,243.23,0
2024-04-02,Housing,Cash,Rent for housing,1059.19,0
2024-04-02,Housing,Debit Card,Rent for housing,1298.68,0
2024-04-02,Housing,Debit Card,Rent for housing,930.04,0
2024-04-02,Transportation,UPI,Fuel for transportation,201.94,0
2024-04-03,Entertainment,Debit Card,Movies for entertainment,667.1,0
2024-04-03,Transportation,Debit Card,Fuel for transportation,1083.14,0
2024-04-03,Healthcare,UPI,Prescriptions for healthcare,1368.32,0
2024-04-03,Housing,UPI,Rent for housing,1282.68,0
2024-04-03,Subscriptions,UPI,Subscription services for subscriptions,825.79,0
2024-04-04,Housing,Debit Card,Rent for housing,1435.45,0
2024-04-04,Subscriptions,UPI,Subscription services for subscriptions,1594.8,0
2024-04-04,Entertainment,Debit Card,Movies for entertainment,702.61,0
2024-04-05,Entertainment,UPI,Movies for entertainment,1587.19,0
2024-04-05,Housing,UPI,Rent for housing,821.3,0
2024-04-06,Subscriptions,Cash,Subscription services for subscriptions,649.53,0
2024-04-06,Housing,Cash,Rent for housing,1539.95,0
2024-04-06,Food,Debit Card,Groceries for food,444.82,0
2024-04-06,Subscriptions,Cash,Subscription services for subscriptions,614.99,0
2024-04-07,Housing,UPI,Rent for housing,583.84,10
2024-04-07,Healthcare,Debit Card,Doctor visits for healthcare,287.98,0
2024-04-07,Transportation,Debit Card,Fuel for transportation,1925.45,0
2024-04-07,Food,UPI,Groceries for food,1237.35,0
2024-04-07,Food,Cash,Groceries for food,1029.02,0
2024-04-08,Transportation,Cash,Fuel for transportation,989.26,0
2024-04-08,Entertainment,Debit Card,Movies for entertainment,1562.16,0
2024-04-08,Entertainment,Debit Card,Movies for entertainment,598.72,0
2024-04-08,Transportation,Debit Card,Fuel for transportation,1334.37,0
2024-04-08,Housing,Debit Card,Rent for housing,1088.02,0
2024-04-08,Transportation,UPI,Fuel for transportation,869.88,0
2024-04-08,Entertainment,Cash,Movies for entertainment,1863.95,0
2024-04-09,Subscriptions,UPI,Subscription services for subscriptions,306.68,0
2024-04-09,Healthcare,Debit Card,Doctor visits for healthcare,110.23,0
2024-04-09,Healthcare,Debit Card,Doctor visits for healthcare,760.3,0
2024-04-09,Housing,Cash,Rent for housing,1561.04,0
2024-04-10,Housing,Cash,Rent for housing,1879.36,0
2024-04-10,Food,UPI,Groceries for food,946.87,0
2024-04-10,Food,UPI,Groceries for food,963.5,10
2024-04-11,Entertainment,Debit Card,Movies for entertainment,680.64,0
