Date,Category,Payment mode,Description,Amount,Cashback
2024-02-01,Transportation,UPI,Fuel for transportation,1990.2,1
2024-02-01,Healthcare,Debit Card,Prescriptions for healthcare,490.29,0
2024-02-01,Housing,Debit Card,Rent for housing,1951.9,0
2024-02-01,Entertainment,Debit Card,Movies for entertainment,1960.09,0
2024-02-01,Entertainment,Cash,Concert tickets for entertainment,112.75,0
2024-02-01,Subscriptions,Cash,OTT platform subscriptions,473.76,0
2024-02-01,Entertainment,Cash,Sports event tickets for entertainment,1662.06,0
2024-02-01,Housing,UPI,Repairs for housing,1696.17,0
2024-02-02,Food,Debit Card,Groceries for food,793.1,0
2024-02-02,Subscriptions,UPI,Online course subscriptions,1806.04,0
2024-02-02,Entertainment,UPI,Books for entertainment,1552.78,0
2024-02-02,Food,Debit Card,Dining out at restaurants,1955.14,0
2024-02-02,Healthcare,Debit Card,Doctor visits for healthcare,1904.93,0
2024-02-02,Subscriptions,Cash,Gym memberships,506.89,0
2024-02-03,Subscriptions,Debit Card,Music streaming subscriptions,1534.63,0
2024-02-04,Entertainment,UPI,Video game purchases,562.66,0
2024-02-04,Subscriptions,Debit Card,News app subscriptions,848.71,0
2024-02-04,Food,Cash,Pet food expenses,1650.87,0
2024-02-04,Housing,Debit Card,Utilities for housing,914.42,0
2024-02-04,Transportation,Cash,Fuel for transportation,250.38,0
2024-02-04,Transportation,Debit Card,Public transport tickets,435.45,0
2024-02-05,Transportation,UPI,Taxi or ride-sharing fares,1970.5,0
2024-02-05,Subscriptions,Cash,Cloud storage subscriptions,1330.53,0
2024-02-05,Housing,Debit Card,Maintenance fees for housing,1674.36,0
2024-02-05,Food,UPI,Bakery items for food,1606.19,0
2024-02-05,Subscriptions,UPI,Language courses,1867.08,5
2024-02-06,Entertainment,UPI,Theater tickets,1329.07,0
2024-02-06,Entertainment,UPI,Escape room tickets,617,0
2024-02-07,Entertainment,UPI,Theme park tickets,572.17,0
2024-02-07,Subscriptions,Cash,Magazine subscriptions,589.87,0
2024-02-07,Entertainment,Cash,Bowling expenses,196.13,0
2024-02-07,Housing,UPI,Cleaning services for housing,1033.02,0
2024-02-08,Housing,UPI,Home insurance premiums,616.79,0
2024-02-08,Entertainment,UPI,Theater tickets,1339.58,0
2024-02-08,Food,UPI,Frozen foods for food,1434.16,0
2024-02-08,Entertainment,UPI,Board games for entertainment,678.01,0
2024-02-08,Subscriptions,Cash,Virtual fitness classes,192.57,0
