Date,Category,Payment mode,Description,Amount,Cashback
2024-07-01,Subscriptions,Debit Card,Subscription services for subscriptions,352.38,0
2024-07-01,Housing,UPI,Rent for housing,452.82,3
2024-07-02,Food,Cash,Groceries for food,1778.28,0
2024-07-02,Healthcare,Debit Card,Doctor visits for healthcare,1832.41,0
2024-07-03,Subscriptions,UPI,Subscription services for subscriptions,593.45,0
2024-07-03,Healthcare,Debit Card,Doctor visits for healthcare,1229.13,0
2024-07-03,Healthcare,UPI,Doctor visits for healthcare,1183.09,0
2024-07-03,Housing,Debit Card,Rent for housing,279.71,0
2024-07-03,Transportation,Cash,Fuel for transportation,1998.11,0
2024-07-03,Housing,Debit Card,Rent for housing,1927.23,0
2024-07-04,Food,UPI,Groceries for food,1091.73,10
2024-07-04,Entertainment,Debit Card,Movies for entertainment,1899.68,0
2024-07-04,Entertainment,UPI,Movies for entertainment,625.25,0
2024-07-04,Food,Cash,Groceries for food,192.16,0
2024-07-04,Housing,Debit Card,Rent for housing,1782.65,0
2024-07-05,Healthcare,Cash,Doctor visits for healthcare,1674.77,0
2024-07-05,Entertainment,UPI,Movies for entertainment,1210.84,0
2024-07-06,Transportation,UPI,Fuel for transportation,1203.46,0
2024-07-06,Transportation,UPI,Fuel for transportation,1056.22,0
2024-07-06,Entertainment,Cash,Movies for entertainment,1983.73,0
2024-07-06,Subscriptions,Cash,Subscription services for subscriptions,1220.73,0
2024-07-07,Subscriptions,Debit Card,Subscription services for subscriptions,1612.89,0
2024-07-07,Subscriptions,Cash,Subscription services for subscriptions,640.19,0
2024-07-07,Food,Cash,Groceries for food,1283.16,0
2024-07-08,Food,Debit Card,Groceries for food,276.59,0
2024-07-08,Entertainment,Cash,Movies for entertainment,837.55,0
2024-07-08,Food,Cash,Groceries for food,448.58,0
2024-07-08,Entertainment,UPI,Movies for entertainment,1823.76,0
2024-07-08,Food,Debit Card,Groceries for food,912.85,0
2024-07-09,Subscriptions,Cash,Subscription services for subscriptions,1120.26,0
2024-07-09,Entertainment,Debit Card,Movies for entertainment,424.25,0
2024-07-09,Housing,UPI,Rent for housing,1414.63,0
2024-07-09,Housing,UPI,Rent for housing,494.46,0
2024-07-09,Subscriptions,Debit Card,Subscription services for subscriptions,205.65,0
2024-07-10,Food,Debit Card,Groceries for food,449.38,0
2024-07-10,Transportation,UPI,Fuel for transportation,401.6,4
2024-07-10,Food,UPI,Groceries for food,1454.81,5
2024-07-11,Subscriptions,Debit Card,Subscription services for subscriptions,1553.13,0
2024-07-11,Transportation,UPI,Fuel for transportation,1641.51,0
2024-07-12,Transportation,UPI,Fuel for transportation,1766.21,0
2024-07-12,Healthcare,UPI,Doctor visits for healthcare,1982.01,0
2024-07-13,Subscriptions,UPI,Subscription services for subscriptions,518.5,0
2024-07-13,Transportation,UPI,Fuel for transportation,1448.22,0
2024-07-13,Subscriptions,UPI,Subscription services for subscriptions,536.63,0
2024-07-14,Entertainment,UPI,Movies for entertainment,1255.61,0
2024-07-14,Food,Debit Card,Groceries for food,1471.31,0
2024-07-15,Subscriptions,UPI,Subscription services for subscriptions,927,0
2024-07-15,Transportation,Debit Card,Fuel for transportation,179.84,0
2024-07-15,Healthcare,UPI,Doctor visits for healthcare,175.31,0
2024-07-15,Food,Cash,Groceries for food,1530.28,0
2024-07-15,Housing,UPI,Rent for housing,127.25,0
2024-07-16,Transportation,Debit Card,Fuel for transportation,1325.38,0
2024-07-16,Subscriptions,Cash,Subscription services for subscriptions,1878.32,0
2024-07-16,Subscriptions,Debit Card,Subscription services for subscriptions,1542.98,0
2024-07-16,Healthcare,Cash,Doctor visits for healthcare,525.95,0
2024-07-16,Entertainment,Debit Card,Movies for entertainment,1854.74,0
2024-07-17,Housing,Cash,Rent for housing,165.23,0
