Date,Category,Payment mode,Description,Amount,Cashback
2024-05-01,Transportation,Cash,Fuel for transportation,514.99,0
2024-05-01,Subscriptions,Cash,Subscription services for subscriptions,189.68,0
2024-05-01,Food,UPI,Groceries for food,1880.86,3
2024-05-01,Housing,Cash,Rent for housing,126.53,0
2024-05-02,Food,Cash,Groceries for food,1645.09,0
2024-05-02,Healthcare,UPI,Doctor visits for healthcare,1133.39,0
2024-05-02,Transportation,Debit Card,Fuel for transportation,364.63,0
2024-05-02,Transportation,Cash,Fuel for transportation,1314.81,0
2024-05-02,Housing,UPI,Rent for housing,404.69,0
2024-05-02,Housing,Debit Card,Rent for housing,760.66,0
2024-05-03,Subscriptions,UPI,Subscription services for subscriptions,633.84,0
2024-05-04,Entertainment,UPI,Movies for entertainment,456.2,0
2024-05-04,Entertainment,Cash,Movies for entertainment,437.97,0
2024-05-04,Transportation,UPI,Fuel for transportation,347.45,0
2024-05-04,Food,UPI,Groceries for food,1453.82,0
2024-05-05,Housing,UPI,Rent for housing,322.56,0
2024-05-06,Healthcare,Debit Card,Doctor visits for healthcare,1158.58,0
2024-05-06,Subscriptions,UPI,Subscription services for subscriptions,1119.91,0
2024-05-06,Entertainment,Cash,Movies for entertainment,1832.64,0
2024-05-06,Transportation,UPI,Fuel for transportation,135.6,0
2024-05-06,Subscriptions,Cash,Subscription services for subscriptions,301.45,0
2024-05-06,Healthcare,Cash,Doctor visits for healthcare,1506.11,0
2024-05-06,Entertainment,UPI,Movies for entertainment,458.88,4
2024-05-06,Housing,UPI,Rent for housing,1359.1,0
2024-05-06,Transportation,Cash,Fuel for transportation,790.99,0
2024-05-07,Food,UPI,Groceries for food,273.28,0
2024-05-07,Healthcare,UPI,Doctor visits for healthcare,1448.04,0
2024-05-07,Food,UPI,Groceries for food,1935.51,0
2024-05-07,Transportation,UPI,Fuel for transportation,1675.16,0
2024-05-07,Transportation,Debit Card,Fuel for transportation,544.48,0
2024-05-07,Housing,UPI,Rent for housing,996.32,0
2024-05-07,Housing,UPI,Rent for housing,1988.85,0
2024-05-08,Entertainment,Cash,Movies for entertainment,1268.77,0
2024-05-08,Food,Debit Card,Groceries for food,1209.09,0
2024-05-08,Food,UPI,Groceries for food,1108.21,0
2024-05-09,Healthcare,Cash,Doctor visits for healthcare,1670.54,0
2024-05-09,Subscriptions,Debit Card,Subscription services for subscriptions,828.71,0
2024-05-09,Housing,UPI,Rent for housing,445.58,0
2024-05-09,Food,UPI,Groceries for food,993.47,0
2024-05-09,Healthcare,Debit Card,Doctor visits for healthcare,1331.07,0
2024-05-09,Healthcare,Debit Card,Doctor visits for healthcare,417.98,0
2024-05-09,Housing,Cash,Rent for housing,1604.48,0
2024-05-10,Entertainment,UPI,Movies for entertainment,245.83,10
2024-05-10,Transportation,Debit Card,Fuel for transportation,1087.21,0
2024-05-11,Entertainment,Debit Card,Movies for entertainment,1603.45,0
2024-05-12,Healthcare,UPI,Doctor visits for healthcare,239.65,0
2024-05-12,Transportation,Debit Card,Fuel for transportation,753.33,0
