Date,Category,Payment mode,Description,Amount,Cashback
2024-09-01,Entertainment,Debit Card,Movies for entertainment,997.34,0
2024-09-01,Healthcare,Cash,Doctor visits for healthcare,221.08,0
2024-09-01,Food,Debit Card,Groceries for food,161.41,0
2024-09-01,Food,Debit Card,Groceries for food,1469.79,0
2024-09-01,Food,Cash,Groceries for food,984.06,0
2024-09-01,Subscriptions,UPI,Subscription services for subscriptions,1365.53,3
2024-09-02,Housing,Cash,Rent for housing,1600.34,0
2024-09-02,Transportation,Debit Card,Fuel for transportation,1029.18,0
2024-09-02,Healthcare,Debit Card,Doctor visits for healthcare,1403.16,0
2024-09-02,Housing,UPI,Rent for housing,219.24,0
2024-09-02,Transportation,UPI,Fuel for transportation,402.95,0
2024-09-03,Entertainment,UPI,Movies for entertainment,449.07,0
2024-09-03,Food,Debit Card,Groceries for food,225.92,0
2024-09-04,Food,Debit Card,Groceries for food,1690.94,0
2024-09-04,Healthcare,UPI,Doctor visits for healthcare,1232.09,10
2024-09-04,Housing,Debit Card,Rent for housing,803.68,0
2024-09-05,Healthcare,Cash,Doctor visits for healthcare,1397.98,0
2024-09-05,Entertainment,Debit Card,Movies for entertainment,498.83,0
2024-09-05,Subscriptions,Debit Card,Subscription services for subscriptions,108.2,0
2024-09-05,Healthcare,Debit Card,Doctor visits for healthcare,543.4,0
2024-09-06,Food,UPI,Groceries for food,828.62,0
2024-09-06,Housing,Debit Card,Rent for housing,851.36,0
2024-09-06,Housing,UPI,Rent for housing,295.88,0
2024-09-06,Healthcare,UPI,Doctor visits for healthcare,766.33,0
2024-09-07,Subscriptions,UPI,Subscription services for subscriptions,370.13,0
2024-09-07,Housing,Cash,Rent for housing,870.45,0
2024-09-07,Subscriptions,UPI,Subscription services for subscriptions,1825.41,0
2024-09-08,Healthcare,Debit Card,Doctor visits for healthcare,1101.86,0
2024-09-08,Subscriptions,UPI,Subscription services for subscriptions,1057.48,0
2024-09-08,Transportation,Cash,Fuel for transportation,489.16,0
2024-09-08,Housing,Debit Card,Rent for housing,688.12,0
2024-09-08,Subscriptions,UPI,Subscription services for subscriptions,471.98,1
2024-09-08,Housing,Cash,Rent for housing,1698.36,0
