Date,Category,Payment mode,Description,Amount,Cashback
2024-08-01,Housing,UPI,Rent for housing,1023.7,1
2024-08-01,Housing,Cash,Rent for housing,282.76,0
2024-08-01,Housing,Cash,Rent for housing,623.94,0
2024-08-01,Healthcare,UPI,Doctor visits for healthcare,302.86,0
2024-08-02,Entertainment,Debit Card,Movies for entertainment,691.94,0
2024-08-02,Subscriptions,Cash,Subscription services for subscriptions,1530.65,0
2024-08-02,Healthcare,Debit Card,Doctor visits for healthcare,129.88,0
2024-08-03,Subscriptions,Debit Card,Subscription services for subscriptions,595.14,0
2024-08-04,Transportation,Cash,Fuel for transportation,1284.97,0
2024-08-04,Healthcare,Debit Card,Doctor visits for healthcare,1018.63,0
2024-08-04,Subscriptions,UPI,Subscription services for subscriptions,911.32,0
2024-08-04,Food,Debit Card,Groceries for food,1267.83,0
2024-08-04,Healthcare,UPI,Doctor visits for healthcare,1495.7,0
2024-08-04,Healthcare,Cash,Doctor visits for healthcare,765.04,0
2024-08-05,Entertainment,UPI,Movies for entertainment,1236.84,0
2024-08-05,Subscriptions,UPI,Subscription services for subscriptions,573.35,0
2024-08-06,Healthcare,UPI,Doctor visits for healthcare,336.13,0
2024-08-06,Entertainment,Debit Card,Movies for entertainment,324.59,0
2024-08-07,Healthcare,Cash,Doctor visits for healthcare,1532.69,0
2024-08-07,Healthcare,UPI,Doctor visits for healthcare,569.19,0
2024-08-07,Healthcare,Debit Card,Doctor visits for healthcare,213.46,0
2024-08-07,Subscriptions,UPI,Subscription services for subscriptions,643.16,0
2024-08-08,Healthcare,Cash,Doctor visits for healthcare,959.03,0
2024-08-09,Healthcare,Cash,Doctor visits for healthcare,1297.3,0
2024-08-09,Entertainment,UPI,Movies for entertainment,605.45,3
2024-08-09,Transportation,Cash,Fuel for transportation,316.69,0
2024-08-09,Transportation,UPI,Fuel for transportation,1549.92,0
2024-08-10,Healthcare,Debit Card,Doctor visits for healthcare,1876.57,0
2024-08-10,Transportation,Debit Card,Fuel for transportation,760.17,0
2024-08-10,Healthcare,UPI,Doctor visits for healthcare,729.63,0
2024-08-11,Housing,UPI,Rent for housing,1908.81,0
2024-08-11,Transportation,Cash,Fuel for transportation,159.99,0
2024-08-11,Housing,Debit Card,Rent for housing,1443.21,0
2024-08-12,Healthcare,UPI,Doctor visits for healthcare,1387.24,0
2024-08-12,Food,Cash,Groceries for food,1606.86,0
2024-08-12,Healthcare,Debit Card,Doctor visits for healthcare,1909.57,0
2024-08-12,Food,UPI,Groceries for food,1593.78,0
2024-08-13,Subscriptions,Cash,Subscription services for subscriptions,166.04,0
2024-08-13,Healthcare,Cash,Doctor visits for healthcare,689.28,0
