Date,Category,Payment mode,Description,Amount,Cashback
2024-12-01,Food,Debit Card,Groceries for food,611.52,0
2024-12-02,Entertainment,Debit Card,Movies for entertainment,537.67,0
2024-12-02,Transportation,Cash,Fuel for transportation,839.37,0
2024-12-02,Transportation,Debit Card,Fuel for transportation,1445.37,0
2024-12-02,Housing,Cash,Rent for housing,1656.05,0
2024-12-02,Subscriptions,Cash,Subscription services for subscriptions,1571.21,0
2024-12-02,Entertainment,Debit Card,Movies for entertainment,1683.87,0
2024-12-03,Subscriptions,UPI,Subscription services for subscriptions,1288.05,0
2024-12-03,Subscriptions,Cash,Subscription services for subscriptions,268.66,0
2024-12-03,Food,Debit Card,Groceries for food,1786.56,0
2024-12-04,Transportation,Debit Card,Fuel for transportation,1686.82,0
2024-12-04,Subscriptions,Debit Card,Subscription services for subscriptions,368.23,0
2024-12-04,Housing,UPI,Rent for housing,945.8,1
2024-12-04,Healthcare,Debit Card,Doctor visits for healthcare,385.1,0
2024-12-04,Food,Cash,Groceries for food,177.57,0
2024-12-04,Subscriptions,Cash,Subscription services for subscriptions,1164.27,0
2024-12-05,Transportation,Debit Card,Fuel for transportation,1172.13,0
2024-12-06,Healthcare,UPI,Doctor visits for healthcare,1479.86,0
2024-12-06,Healthcare,Cash,Doctor visits for healthcare,1722.33,0
2024-12-06,Healthcare,Cash,Doctor visits for healthcare,889.01,0
2024-12-06,Healthcare,Debit Card,Doctor visits for healthcare,884.34,0
2024-12-07,Food,UPI,Groceries for food,844.69,0
2024-12-07,Entertainment,Cash,Movies for entertainment,1635.65,0
2024-12-07,Transportation,UPI,Fuel for transportation,1982.49,0
2024-12-08,Housing,UPI,Rent for housing,1980.06,0
2024-12-08,Entertainment,UPI,Movies for entertainment,1354.88,0
2024-12-09,Food,Cash,Groceries for food,1390.26,0
2024-12-09,Housing,UPI,Rent for housing,1040.21,3
2024-12-10,Food,UPI,Groceries for food,210.11,0
2024-12-10,Entertainment,Cash,Movies for entertainment,931.45,0
2024-12-11,Housing,Debit Card,Rent for housing,1321.73,0
2024-12-11,Entertainment,Cash,Movies for entertainment,532.41,0
2024-12-11,Food,Debit Card,Groceries for food,540.83,0
2024-12-11,Entertainment,Debit Card,Movies for entertainment,1645.06,0
2024-12-11,Food,Cash,Groceries for food,1992.92,0
2024-12-12,Housing,UPI,Rent for housing,1052.01,0
2024-12-12,Food,Debit Card,Groceries for food,1892.7,0
2024-12-12,Subscriptions,Cash,Subscription services for subscriptions,179.1,0
2024-12-12,Entertainment,Debit Card,Movies for entertainment,1988.12,0
2024-12-13,Food,Debit Card,Groceries for food,1492.68,0
2024-12-13,Food,UPI,Groceries for food,894.72,0
2024-12-13,Entertainment,Cash,Movies for entertainment,799.3,0
2024-12-13,Healthcare,Cash,Doctor visits for healthcare,1727.48,0
2024-12-13,Food,Cash,Groceries for food,731.82,0
2024-12-13,Transportation,Cash,Fuel for transportation,1812.22,0
2024-12-13,Entertainment,Debit Card,Movies for entertainment,1002.85,0
2024-12-14,Subscriptions,UPI,Subscription services for subscriptions,1845.23,10
2024-12-14,Entertainment,Debit Card,Movies for entertainment,1419.06,0
2024-12-14,Food,Debit Card,Groceries for food,1867.27,0
2024-12-15,Healthcare,Debit Card,Doctor visits for healthcare,1232.14,0
2024-12-15,Food,Debit Card,Groceries for food,1083.82,0
2024-12-15,Subscriptions,UPI,Subscription services for subscriptions,1927.62,0
2024-12-16,Food,Cash,Groceries for food,1314.37,0
